order_id,customer_id,store_id,order_date,order_datetime,delivery_date,promised_delivery_date,subtotal_eur,tax_amount_eur,shipping_cost_eur,discount_amount_eur,total_amount_eur,currency_code,exchange_rate,total_amount_local,order_status,fulfillment_center,shipping_method,tracking_number,order_channel,traffic_source,campaign_code,payment_method,payment_status,customer_service_notes,return_reason,return_date,created_at,updated_at
ORD_00000018,CUST_DE_0000396,STORE_DE_025,2024-06-13,2024-06-13 16:48:00,2024-06-20,2024-06-19,96.41,19.28,0.0,0,115.69,EUR,1.0,115.69,completed,FC_DE,click_collect,TRK738829159,in_store,paid_search,,credit_card,completed,,,,2024-06-13 16:48:00,2024-06-13 16:48:00
ORD_00000019,CUST_DE_0000058,,2024-06-13,2024-06-13 15:14:00,2024-06-17,2024-06-17,207.81,41.56,0.0,0,249.37,EUR,1.0,249.37,completed,FC_DE,next_day,TRK480533783,online,paid_search,,paypal,completed,,,,2024-06-13 15:14:00,2024-06-13 15:14:00
ORD_00000020,CUST_NL_0001283,,2024-06-14,2024-06-14 18:56:00,2024-06-17,2024-06-17,292.22,58.44,0.0,0,350.66,EUR,1.0,350.66,completed,FC_NL,express,TRK197819404,mobile_app,social_media,,credit_card,completed,,,,2024-06-14 18:56:00,2024-06-14 18:56:00
ORD_00000021,CUST_DE_0000540,,2024-06-14,2024-06-14 15:45:00,2024-06-17,2024-06-16,320.21,64.04,0.0,0,384.25,EUR,1.0,384.25,completed,FC_DE,click_collect,TRK165964857,mobile_app,social_media,,credit_card,completed,,,,2024-06-14 15:45:00,2024-06-14 15:45:00
ORD_00000022,CUST_NL_0001244,STORE_NL_005,2024-06-15,2024-06-15 14:48:00,2024-06-18,2024-06-18,69.31,13.86,0.0,0,83.18,EUR,1.0,83.18,completed,FC_NL,standard,TRK867935834,in_store,social_media,,debit_card,completed,,,,2024-06-15 14:48:00,2024-06-15 14:48:00
ORD_00000023,CUST_FR_0000880,,2024-06-15,2024-06-15 18:13:00,2024-06-19,2024-06-20,81.88,16.38,0.0,0,98.26,EUR,1.0,98.26,completed,FC_FR,express,TRK606752778,online,social_media,,buy_now_pay_later,completed,,,,2024-06-15 18:13:00,2024-06-15 18:13:00
ORD_00000024,CUST_BE_0001889,,2024-06-16,2024-06-16 15:55:00,2024-06-19,2024-06-19,162.78,32.56,0.0,0,195.34,EUR,1.0,195.34,completed,FC_BE,next_day,TRK731937858,mobile_app,display_ads,,paypal,completed,,,,2024-06-16 15:55:00,2024-06-16 15:55:00
ORD_00000025,CUST_LU_0001903,STORE_LU_046,2024-06-17,2024-06-17 11:19:00,2024-06-23,2024-06-24,109.26,21.85,0.0,0,131.12,EUR,1.0,131.12,completed,FC_LU,click_collect,TRK652650030,in_store,email,,debit_card,completed,,,,2024-06-17 11:19:00,2024-06-17 11:19:00
ORD_00000026,CUST_DE_0000417,,2024-06-17,2024-06-17 15:31:00,2024-06-24,2024-06-24,51.01,10.2,0.0,0,61.21,EUR,1.0,61.21,completed,FC_DE,next_day,TRK412242478,mobile_app,display_ads,,bank_transfer,completed,,,,2024-06-17 15:31:00,2024-06-17 15:31:00
ORD_00000027,CUST_BE_0001842,,2024-06-18,2024-06-18 11:53:00,,,332.82,66.56,0.0,0,399.39,EUR,1.0,399.39,pending,FC_BE,in_store_pickup,,online,paid_search,,buy_now_pay_later,completed,,,,2024-06-18 11:53:00,2024-06-18 11:53:00
ORD_00000028,CUST_NL_0001415,STORE_NL_008,2024-06-19,2024-06-19 13:47:00,2024-06-23,2024-06-23,26.67,5.33,0.0,0,32.0,EUR,1.0,32.0,completed,FC_NL,click_collect,TRK497919507,in_store,paid_search,,buy_now_pay_later,completed,,,,2024-06-19 13:47:00,2024-06-19 13:47:00
ORD_00000029,CUST_NL_0001273,,2024-06-19,2024-06-19 14:38:00,,,302.27,60.45,0.0,0,362.73,EUR,1.0,362.73,pending,FC_NL,in_store_pickup,,online,organic_search,,bank_transfer,completed,,,,2024-06-19 14:38:00,2024-06-19 14:38:00
ORD_00000030,CUST_FR_0000965,,2024-06-20,2024-06-20 05:53:00,,,455.24,91.05,0.0,0,546.29,EUR,1.0,546.29,cancelled,FC_FR,express,,mobile_app,social_media,,debit_card,failed,,,,2024-06-20 05:53:00,2024-06-20 05:53:00
ORD_00000031,CUST_BE_0001871,STORE_BE_018,2024-06-20,2024-06-20 11:35:00,2024-06-20,2024-06-21,255.27,51.05,0.0,0,306.32,EUR,1.0,306.32,completed,FC_BE,next_day,TRK394883592,in_store,referral,,bank_transfer,completed,,,,2024-06-20 11:35:00,2024-06-20 11:35:00
ORD_00000032,CUST_FR_0001057,STORE_FR_041,2024-06-21,2024-06-21 18:31:00,2024-06-24,2024-06-23,79.9,15.98,0.0,0,95.88,EUR,1.0,95.88,completed,FC_FR,express,TRK594006928,in_store,direct,,buy_now_pay_later,completed,,,,2024-06-21 18:31:00,2024-06-21 18:31:00
ORD_00000033,CUST_FR_0000971,,2024-06-21,2024-06-21 21:32:00,2024-06-27,2024-06-27,215.93,43.19,0.0,0,259.12,EUR,1.0,259.12,completed,FC_FR,express,TRK863600718,online,paid_search,,debit_card,completed,,,,2024-06-21 21:32:00,2024-06-21 21:32:00
ORD_00000034,CUST_DE_0000539,,2024-06-22,2024-06-22 13:45:00,2024-06-22,2024-06-23,436.06,87.21,0.0,0,523.27,EUR,1.0,523.27,completed,FC_DE,next_day,TRK914588177,mobile_app,referral,,paypal,completed,,,,2024-06-22 13:45:00,2024-06-22 13:45:00
ORD_00000035,CUST_DE_0000412,,2024-06-23,2024-06-23 21:29:00,,2024-06-27,454.9,90.98,0.0,0,545.88,EUR,1.0,545.88,shipped,FC_DE,in_store_pickup,TRK698450008,online,organic_search,,bank_transfer,completed,,,,2024-06-23 21:29:00,2024-06-23 21:29:00
ORD_00000036,CUST_DE_0000004,,2024-06-24,2024-06-24 11:45:00,2024-06-26,2024-06-26,93.92,18.78,0.0,0,112.7,EUR,1.0,112.7,completed,FC_DE,express,TRK276466190,mobile_app,referral,,credit_card,completed,,,,2024-06-24 11:45:00,2024-06-24 11:45:00
ORD_00000037,CUST_FR_0001193,,2024-06-24,2024-06-24 18:42:00,2024-06-30,2024-06-30,348.69,69.74,0.0,0,418.43,EUR,1.0,418.43,completed,FC_FR,express,TRK594625486,online,direct,,credit_card,completed,,,,2024-06-24 18:42:00,2024-06-24 18:42:00
ORD_00000038,CUST_LU_0001935,,2024-06-25,2024-06-25 13:48:00,2024-06-29,2024-06-30,236.99,47.4,0.0,0,284.39,EUR,1.0,284.39,completed,FC_LU,next_day,TRK627423391,mobile_app,referral,,bank_transfer,completed,,,,2024-06-25 13:48:00,2024-06-25 13:48:00
ORD_00000039,CUST_DE_0000432,STORE_DE_032,2024-06-26,2024-06-26 16:47:00,,2024-06-29,276.43,55.29,0.0,0,331.72,EUR,1.0,331.72,shipped,FC_DE,express,TRK454531263,in_store,organic_search,,credit_card,completed,,,,2024-06-26 16:47:00,2024-06-26 16:47:00
ORD_00000040,CUST_FR_0001073,,2024-06-26,2024-06-26 16:48:00,2024-06-29,2024-06-30,165.46,33.09,0.0,0,198.55,EUR,1.0,198.55,completed,FC_FR,click_collect,TRK388293715,online,social_media,,debit_card,completed,,,,2024-06-26 16:48:00,2024-06-26 16:48:00
ORD_00000041,CUST_NL_0001429,,2024-06-27,2024-06-27 16:35:00,2024-07-02,2024-07-03,440.89,88.18,0.0,0,529.07,EUR,1.0,529.07,completed,FC_NL,express,TRK899648114,online,display_ads,,debit_card,completed,,,,2024-06-27 16:35:00,2024-06-27 16:35:00
ORD_00000042,CUST_DE_0000212,,2024-06-27,2024-06-27 14:13:00,,2024-07-01,250.76,50.15,0.0,0,300.91,EUR,1.0,300.91,shipped,FC_DE,in_store_pickup,TRK932870423,mobile_app,email,,buy_now_pay_later,completed,,,,2024-06-27 14:13:00,2024-06-27 14:13:00
ORD_00000043,CUST_FR_0001028,,2024-06-28,2024-06-28 07:45:00,2024-07-02,2024-07-02,165.48,33.1,0.0,0,198.58,EUR,1.0,198.58,completed,FC_FR,express,TRK842966601,online,social_media,,paypal,completed,,,,2024-06-28 07:45:00,2024-06-28 07:45:00
ORD_00000044,CUST_FR_0000821,STORE_FR_042,2024-06-28,2024-06-28 13:58:00,,2024-07-05,80.14,16.03,0.0,0,96.16,EUR,1.0,96.16,shipped,FC_FR,next_day,TRK808438592,in_store,organic_search,,paypal,completed,,,,2024-06-28 13:58:00,2024-06-28 13:58:00
ORD_00000045,CUST_BE_0001652,STORE_BE_019,2024-06-29,2024-06-29 11:21:00,2024-06-30,2024-06-30,79.9,15.98,0.0,0,95.88,EUR,1.0,95.88,completed,FC_BE,click_collect,TRK238505049,online,direct,,credit_card,completed,,,,2024-06-29 11:21:00,2024-06-29 11:21:00
ORD_00000046,CUST_DE_0000610,,2024-06-29,2024-06-29 16:24:00,2024-07-01,2024-07-01,21.14,4.23,6.62,0,31.98,EUR,1.0,31.98,completed,FC_DE,express,TRK369921955,online,social_media,,credit_card,completed,,,,2024-06-29 16:24:00,2024-06-29 16:24:00
ORD_00000047,CUST_DE_0000389,,2024-06-30,2024-06-30 09:58:00,2024-07-05,2024-07-06,29.66,5.93,6.48,0,42.07,EUR,1.0,42.07,completed,FC_DE,next_day,TRK464933611,mobile_app,social_media,,bank_transfer,completed,,,,2024-06-30 09:58:00,2024-06-30 09:58:00
ORD_00000048,CUST_BE_0001795,,2024-06-30,2024-06-30 12:56:00,2024-07-06,2024-07-06,231.38,46.28,0.0,0,277.66,EUR,1.0,277.66,completed,FC_BE,in_store_pickup,TRK579812296,online,referral,,paypal,completed,,,,2024-06-30 12:56:00,2024-06-30 12:56:00
ORD_00000049,CUST_NL_0001257,,2024-07-01,2024-07-01 15:39:00,2024-07-06,2024-07-05,430.89,86.18,0.0,0,517.07,EUR,1.0,517.07,completed,FC_NL,standard,TRK746410799,online,social_media,,buy_now_pay_later,completed,,,,2024-07-01 15:39:00,2024-07-01 15:39:00
ORD_00000050,CUST_NL_0001431,STORE_NL_003,2024-07-02,2024-07-02 12:04:00,2024-07-09,2024-07-09,166.33,33.27,0.0,0,199.6,EUR,1.0,199.6,completed,FC_NL,click_collect,TRK898854861,in_store,organic_search,,buy_now_pay_later,completed,,,,2024-07-02 12:04:00,2024-07-02 12:04:00
ORD_00000051,CUST_NL_0001557,,2024-07-02,2024-07-02 14:55:00,,2024-07-07,242.23,48.45,0.0,0,290.68,EUR,1.0,290.68,returned,FC_NL,express,,mobile_app,social_media,,paypal,completed,,,,2024-07-02 14:55:00,2024-07-02 14:55:00
ORD_00000052,CUST_LU_0001963,STORE_LU_047,2024-07-03,2024-07-03 07:02:00,2024-07-08,2024-07-08,183.5,36.7,0.0,0,220.2,EUR,1.0,220.2,completed,FC_LU,in_store_pickup,TRK362472359,in_store,social_media,,credit_card,completed,,,,2024-07-03 07:02:00,2024-07-03 07:02:00
ORD_00000053,CUST_BE_0001677,,2024-07-03,2024-07-03 17:01:00,2024-07-07,2024-07-08,232.89,46.58,0.0,0,279.47,EUR,1.0,279.47,completed,FC_BE,express,TRK137255695,online,direct,,bank_transfer,completed,,,,2024-07-03 17:01:00,2024-07-03 17:01:00
ORD_00000054,CUST_FR_0000777,,2024-07-04,2024-07-04 16:43:00,2024-07-09,2024-07-10,247.51,49.5,0.0,0,297.02,EUR,1.0,297.02,completed,FC_FR,click_collect,TRK359085886,online,referral,,buy_now_pay_later,completed,,,,2024-07-04 16:43:00,2024-07-04 16:43:00
ORD_00000055,CUST_DE_0000336,,2024-07-05,2024-07-05 17:55:00,,2024-07-08,225.49,45.1,0.0,0,270.59,EUR,1.0,270.59,returned,FC_DE,express,,mobile_app,direct,,credit_card,completed,,,,2024-07-05 17:55:00,2024-07-05 17:55:00
ORD_00000056,CUST_NL_0001381,STORE_NL_007,2024-07-05,2024-07-05 21:35:00,,2024-07-09,158.35,31.67,0.0,0,190.02,EUR,1.0,190.02,shipped,FC_NL,in_store_pickup,TRK888722497,mobile_app,paid_search,,credit_card,completed,,,,2024-07-05 21:35:00,2024-07-05 21:35:00
ORD_00000057,CUST_DE_0000350,,2024-07-06,2024-07-06 13:37:00,,,324.24,64.85,0.0,0,389.09,EUR,1.0,389.09,pending,FC_DE,in_store_pickup,,mobile_app,social_media,,buy_now_pay_later,completed,,,,2024-07-06 13:37:00,2024-07-06 13:37:00
ORD_00000058,CUST_LU_0001997,,2024-07-07,2024-07-07 12:17:00,,,38.05,7.61,7.41,0,53.07,EUR,1.0,53.07,cancelled,FC_LU,click_collect,,online,paid_search,,paypal,failed,,,,2024-07-07 12:17:00,2024-07-07 12:17:00
ORD_00000059,CUST_NL_0001583,,2024-07-08,2024-07-08 17:18:00,,2024-07-12,284.03,56.81,0.0,0,340.84,EUR,1.0,340.84,shipped,FC_NL,standard,TRK248045222,mobile_app,paid_search,,debit_card,completed,,,,2024-07-08 17:18:00,2024-07-08 17:18:00
ORD_00000060,CUST_NL_0001313,STORE_NL_001,2024-07-08,2024-07-08 16:19:00,2024-07-09,2024-07-09,577.71,115.54,0.0,0,693.26,EUR,1.0,693.26,completed,FC_NL,express,TRK243082642,in_store,organic_search,,bank_transfer,completed,,,,2024-07-08 16:19:00,2024-07-08 16:19:00
ORD_00000061,CUST_NL_0001382,,2024-07-09,2024-07-09 17:24:00,2024-07-09,2024-07-10,39.12,7.82,5.2,0,52.14,EUR,1.0,52.14,completed,FC_NL,standard,TRK799374924,online,display_ads,,bank_transfer,completed,,,,2024-07-09 17:24:00,2024-07-09 17:24:00
ORD_00000062,CUST_NL_0001206,STORE_NL_010,2024-07-10,2024-07-10 19:32:00,2024-07-17,2024-07-16,568.64,113.73,0.0,0,682.37,EUR,1.0,682.37,completed,FC_NL,next_day,TRK664402669,mobile_app,direct,,paypal,completed,,,,2024-07-10 19:32:00,2024-07-10 19:32:00
ORD_00000063,CUST_DE_0000117,STORE_DE_030,2024-07-11,2024-07-11 12:51:00,2024-07-15,2024-07-15,196.78,39.36,0.0,0,236.13,EUR,1.0,236.13,completed,FC_DE,express,TRK825198064,online,referral,,debit_card,completed,,,,2024-07-11 12:51:00,2024-07-11 12:51:00
ORD_00000064,CUST_NL_0001310,,2024-07-11,2024-07-11 17:37:00,2024-07-12,2024-07-13,61.75,12.35,0.0,0,74.1,EUR,1.0,74.1,completed,FC_NL,next_day,TRK302550194,mobile_app,referral,,debit_card,completed,,,,2024-07-11 17:37:00,2024-07-11 17:37:00
ORD_00000065,CUST_BE_0001654,,2024-07-12,2024-07-12 16:48:00,2024-07-16,2024-07-15,179.82,35.96,0.0,0,215.79,EUR,1.0,215.79,completed,FC_BE,express,TRK661368960,online,direct,,paypal,completed,,,,2024-07-12 16:48:00,2024-07-12 16:48:00
ORD_00000066,CUST_FR_0000864,,2024-07-13,2024-07-13 17:23:00,2024-07-20,2024-07-20,377.6,75.52,0.0,0,453.12,EUR,1.0,453.12,completed,FC_FR,in_store_pickup,TRK890512300,online,display_ads,,credit_card,completed,,,,2024-07-13 17:23:00,2024-07-13 17:23:00
ORD_00000067,CUST_NL_0001378,STORE_NL_005,2024-07-14,2024-07-14 18:44:00,2024-07-20,2024-07-20,335.25,67.05,0.0,0,402.3,EUR,1.0,402.3,completed,FC_NL,express,TRK633377060,online,display_ads,,credit_card,completed,,,,2024-07-14 18:44:00,2024-07-14 18:44:00
ORD_00000068,CUST_BE_0001709,,2024-07-14,2024-07-14 17:32:00,2024-07-17,2024-07-16,213.3,42.66,0.0,0,255.96,EUR,1.0,255.96,completed,FC_BE,standard,TRK913299950,online,direct,,bank_transfer,completed,,,,2024-07-14 17:32:00,2024-07-14 17:32:00
ORD_00000069,CUST_DE_0000141,,2024-07-15,2024-07-15 14:16:00,2024-07-20,2024-07-21,91.0,18.2,0.0,0,109.2,EUR,1.0,109.2,completed,FC_DE,standard,TRK540992655,mobile_app,organic_search,,bank_transfer,completed,,,,2024-07-15 14:16:00,2024-07-15 14:16:00
ORD_00000070,CUST_DE_0000625,,2024-07-15,2024-07-15 20:51:00,2024-07-20,2024-07-19,369.62,73.92,0.0,0,443.54,EUR,1.0,443.54,completed,FC_DE,click_collect,TRK418102750,online,social_media,,bank_transfer,completed,,,,2024-07-15 20:51:00,2024-07-15 20:51:00
ORD_00000071,CUST_DE_0000189,,2024-07-16,2024-07-16 16:18:00,2024-07-22,2024-07-22,499.81,99.96,0.0,0,599.77,EUR,1.0,599.77,completed,FC_DE,express,TRK163172881,online,display_ads,,paypal,completed,,,,2024-07-16 16:18:00,2024-07-16 16:18:00
ORD_00000072,CUST_DE_0000512,,2024-07-17,2024-07-17 18:09:00,2024-07-24,2024-07-24,462.74,92.55,0.0,0,555.29,EUR,1.0,555.29,completed,FC_DE,standard,TRK353091647,phone,social_media,,debit_card,completed,,,,2024-07-17 18:09:00,2024-07-17 18:09:00
ORD_00000073,CUST_FR_0000795,STORE_FR_044,2024-07-17,2024-07-17 12:56:00,2024-07-21,2024-07-22,466.94,93.39,0.0,0,560.33,EUR,1.0,560.33,completed,FC_FR,standard,TRK303863883,in_store,social_media,,buy_now_pay_later,completed,,,,2024-07-17 12:56:00,2024-07-17 12:56:00
ORD_00000074,CUST_FR_0000871,,2024-07-18,2024-07-18 17:04:00,2024-07-24,2024-07-25,257.89,51.58,0.0,0,309.47,EUR,1.0,309.47,completed,FC_FR,in_store_pickup,TRK243154021,mobile_app,direct,,buy_now_pay_later,completed,,,,2024-07-18 17:04:00,2024-07-18 17:04:00
ORD_00000075,CUST_FR_0001046,,2024-07-18,2024-07-18 20:18:00,,,48.78,9.76,7.69,0,66.22,EUR,1.0,66.22,processing,FC_FR,click_collect,,online,display_ads,,credit_card,completed,,,,2024-07-18 20:18:00,2024-07-18 20:18:00
ORD_00000076,CUST_NL_0001463,,2024-07-19,2024-07-19 17:54:00,2024-07-23,2024-07-23,50.7,10.14,0.0,0,60.84,EUR,1.0,60.84,completed,FC_NL,express,TRK725551831,mobile_app,referral,,bank_transfer,completed,,,,2024-07-19 17:54:00,2024-07-19 17:54:00
ORD_00000077,CUST_FR_0001143,,2024-07-20,2024-07-20 08:32:00,2024-07-20,2024-07-21,54.29,10.86,0.0,0,65.15,EUR,1.0,65.15,completed,FC_FR,click_collect,TRK818231110,online,organic_search,,paypal,completed,,,,2024-07-20 08:32:00,2024-07-20 08:32:00
ORD_00000078,CUST_FR_0000945,,2024-07-21,2024-07-21 13:46:00,2024-07-27,2024-07-27,154.04,30.81,0.0,0,184.84,EUR,1.0,184.84,completed,FC_FR,next_day,TRK448934882,online,organic_search,,credit_card,completed,,,,2024-07-21 13:46:00,2024-07-21 13:46:00
ORD_00000079,CUST_DE_0000103,STORE_DE_033,2024-07-22,2024-07-22 15:02:00,2024-07-29,2024-07-28,146.78,29.36,0.0,0,176.13,EUR,1.0,176.13,completed,FC_DE,standard,TRK795739945,in_store,email,,buy_now_pay_later,completed,,,,2024-07-22 15:02:00,2024-07-22 15:02:00
ORD_00000080,CUST_NL_0001405,STORE_NL_002,2024-07-22,2024-07-22 14:28:00,2024-07-24,2024-07-24,761.02,152.2,0.0,0,913.23,EUR,1.0,913.23,completed,FC_NL,click_collect,TRK113710748,in_store,email,,buy_now_pay_later,completed,,,,2024-07-22 14:28:00,2024-07-22 14:28:00
ORD_00000081,CUST_DE_0000365,,2024-07-23,2024-07-23 17:07:00,2024-07-29,2024-07-30,607.57,121.51,0.0,0,729.08,EUR,1.0,729.08,completed,FC_DE,express,TRK933724951,mobile_app,referral,,credit_card,completed,,,,2024-07-23 17:07:00,2024-07-23 17:07:00
ORD_00000082,CUST_DE_0000530,,2024-07-23,2024-07-23 19:03:00,,2024-07-26,54.61,10.92,0.0,0,65.54,EUR,1.0,65.54,shipped,FC_DE,next_day,TRK472030058,mobile_app,display_ads,,debit_card,completed,,,,2024-07-23 19:03:00,2024-07-23 19:03:00
ORD_00000083,CUST_FR_0001158,STORE_FR_036,2024-07-24,2024-07-24 06:57:00,2024-07-26,2024-07-25,81.22,16.24,0.0,0,97.46,EUR,1.0,97.46,completed,FC_FR,next_day,TRK206653218,in_store,organic_search,,bank_transfer,completed,,,,2024-07-24 06:57:00,2024-07-24 06:57:00
ORD_00000084,CUST_BE_0001603,,2024-07-25,2024-07-25 08:19:00,2024-07-26,2024-07-27,685.63,137.13,0.0,0,822.76,EUR,1.0,822.76,completed,FC_BE,in_store_pickup,TRK768984476,online,social_media,,debit_card,completed,,,,2024-07-25 08:19:00,2024-07-25 08:19:00
ORD_00000085,CUST_FR_0000810,,2024-07-25,2024-07-25 08:55:00,2024-08-01,2024-07-31,250.5,50.1,0.0,0,300.6,EUR,1.0,300.6,completed,FC_FR,standard,TRK548009463,online,email,,debit_card,completed,,,,2024-07-25 08:55:00,2024-07-25 08:55:00
ORD_00000086,CUST_NL_0001573,,2024-07-26,2024-07-26 18:34:00,,,20.7,4.14,8.93,0,33.77,EUR,1.0,33.77,cancelled,FC_NL,next_day,,online,organic_search,,debit_card,failed,,,,2024-07-26 18:34:00,2024-07-26 18:34:00
ORD_00000087,CUST_DE_0000636,STORE_DE_032,2024-07-27,2024-07-27 16:28:00,2024-07-29,2024-07-28,542.71,108.54,0.0,0,651.25,EUR,1.0,651.25,completed,FC_DE,next_day,TRK718893890,mobile_app,paid_search,,bank_transfer,completed,,,,2024-07-27 16:28:00,2024-07-27 16:28:00
ORD_00000088,CUST_DE_0000504,,2024-07-28,2024-07-28 12:55:00,2024-08-04,2024-08-04,216.66,43.33,0.0,0,259.99,EUR,1.0,259.99,completed,FC_DE,click_collect,TRK892140689,online,social_media,,credit_card,completed,,,,2024-07-28 12:55:00,2024-07-28 12:55:00
ORD_00000089,CUST_DE_0000609,STORE_DE_029,2024-07-29,2024-07-29 12:19:00,2024-08-03,2024-08-04,668.8,133.76,0.0,0,802.56,EUR,1.0,802.56,completed,FC_DE,standard,TRK479447099,in_store,display_ads,,paypal,completed,,,,2024-07-29 12:19:00,2024-07-29 12:19:00
ORD_00000090,CUST_NL_0001261,,2024-07-29,2024-07-29 09:11:00,,2024-08-04,162.12,32.42,0.0,0,194.54,EUR,1.0,194.54,returned,FC_NL,next_day,,mobile_app,email,,buy_now_pay_later,completed,,,,2024-07-29 09:11:00,2024-07-29 09:11:00
