product_id,product_name,product_name_local,category_l1,category_l2,category_l3,brand,color_primary,color_secondary,size_range,material_composition,price_eur,price_local,cost_price_eur,margin_percentage,sustainability_score,eco_friendly_materials,carbon_footprint_kg,production_country,current_stock_total,reorder_level,lead_time_days,launch_date,season,is_active,discontinue_date,online_availability,product_url,image_urls,created_at,updated_at
PROD_000011,Sporty Grey T-Shirt,"{'EN': 'Sporty Grey T-Shirt', 'DE': 'Sporty Grey T-Shirt', 'FR': 'Sporty Grey T-Shirt', 'NL': 'Sporty Grey T-Shirt'}",Women,Tops,T-Shirts,EcoFashion,Grey,,"['XS', 'S', 'M', 'L', 'XL', 'XXL']",Organic Cotton,54.24,{'EUR': 54.24},21.07,61.16,8,True,6.78,Germany,872,174,59,2023-04-15,Fall/Winter 2024,True,,True,https://eurostyle.com/products/sporty-grey-t-shirt,"['https://eurostyle.com/images/sporty-grey-t-shirt-main.jpg', 'https://eurostyle.com/images/sporty-grey-t-shirt-detail.jpg', 'https://eurostyle.com/images/sporty-grey-t-shirt-lifestyle.jpg']",2025-10-14 13:00:07.746913,2025-10-14 13:00:07.746913
PROD_000012,Modern Orange T-Shirt,"{'EN': 'Modern Orange T-Shirt', 'DE': 'Modern Orange T-Shirt', 'FR': 'Moderne Orange T-Shirt', 'NL': 'Modern Orange T-Shirt'}",Women,Tops,T-Shirts,EuroStyle,Orange,Cream,"['XS', 'S', 'M', 'L', 'XL', 'XXL']",Organic Cotton,49.94,{'EUR': 49.94},26.46,47.02,9,True,7.59,Germany,389,77,42,2023-02-05,Fall/Winter 2024,True,,True,https://eurostyle.com/products/modern-orange-t-shirt,"['https://eurostyle.com/images/modern-orange-t-shirt-main.jpg', 'https://eurostyle.com/images/modern-orange-t-shirt-detail.jpg', 'https://eurostyle.com/images/modern-orange-t-shirt-lifestyle.jpg']",2025-10-14 13:00:07.746922,2025-10-14 13:00:07.746922
PROD_000013,Classic Yellow T-Shirt,"{'EN': 'Classic Yellow T-Shirt', 'DE': 'Klassisch Yellow T-Shirt', 'FR': 'Classique Yellow T-Shirt', 'NL': 'Klassiek Yellow T-Shirt'}",Women,Tops,T-Shirts,TrendSetters,Yellow,,"['XS', 'S', 'M', 'L', 'XL', 'XXL']",Tencel,49.8,{'EUR': 49.8},20.23,59.37,8,True,4.58,Germany,879,175,32,2024-03-21,Spring/Summer 2024,True,,True,https://eurostyle.com/products/classic-yellow-t-shirt,"['https://eurostyle.com/images/classic-yellow-t-shirt-main.jpg', 'https://eurostyle.com/images/classic-yellow-t-shirt-detail.jpg', 'https://eurostyle.com/images/classic-yellow-t-shirt-lifestyle.jpg']",2025-10-14 13:00:07.746930,2025-10-14 13:00:07.746931
PROD_000014,Premium Blue T-Shirt,"{'EN': 'Premium Blue T-Shirt', 'DE': 'Premium Blue T-Shirt', 'FR': 'Premium Blue T-Shirt', 'NL': 'Premium Blue T-Shirt'}",Women,Tops,T-Shirts,PremiumWear,Blue,Charcoal,"['XS', 'S', 'M', 'L', 'XL', 'XXL']",Tencel,59.85,{'EUR': 59.85},25.63,57.17,8,True,2.14,Portugal,1799,359,27,2022-08-09,Fall/Winter 2024,True,,True,https://eurostyle.com/products/premium-blue-t-shirt,"['https://eurostyle.com/images/premium-blue-t-shirt-main.jpg', 'https://eurostyle.com/images/premium-blue-t-shirt-detail.jpg', 'https://eurostyle.com/images/premium-blue-t-shirt-lifestyle.jpg']",2025-10-14 13:00:07.746939,2025-10-14 13:00:07.746939
PROD_000015,Basic Purple T-Shirt,"{'EN': 'Basic Purple T-Shirt', 'DE': 'Basic Purple T-Shirt', 'FR': 'Basic Purple T-Shirt', 'NL': 'Basic Purple T-Shirt'}",Women,Tops,T-Shirts,EcoFashion,Purple,,"['XS', 'S', 'M', 'L', 'XL', 'XXL']",Cotton,79.58,{'EUR': 79.58},30.24,62.0,7,False,7.94,Netherlands,401,80,32,2024-05-11,Fall/Winter 2025,True,,True,https://eurostyle.com/products/basic-purple-t-shirt,"['https://eurostyle.com/images/basic-purple-t-shirt-main.jpg', 'https://eurostyle.com/images/basic-purple-t-shirt-detail.jpg', 'https://eurostyle.com/images/basic-purple-t-shirt-lifestyle.jpg']",2025-10-14 13:00:07.746947,2025-10-14 13:00:07.746947
PROD_000016,Trendy Green T-Shirt,"{'EN': 'Trendy Green T-Shirt', 'DE': 'Trendy Green T-Shirt', 'FR': 'Trendy Green T-Shirt', 'NL': 'Trendy Green T-Shirt'}",Women,Tops,T-Shirts,UrbanChic,Green,,"['XS', 'S', 'M', 'L', 'XL', 'XXL']",Cotton,52.92,{'EUR': 52.92},23.01,56.52,6,False,11.14,Portugal,693,138,47,2025-08-13,Fall/Winter 2024,True,,True,https://eurostyle.com/products/trendy-green-t-shirt,"['https://eurostyle.com/images/trendy-green-t-shirt-main.jpg', 'https://eurostyle.com/images/trendy-green-t-shirt-detail.jpg', 'https://eurostyle.com/images/trendy-green-t-shirt-lifestyle.jpg']",2025-10-14 13:00:07.746956,2025-10-14 13:00:07.746956
PROD_000017,Sporty Purple T-Shirt,"{'EN': 'Sporty Purple T-Shirt', 'DE': 'Sporty Purple T-Shirt', 'FR': 'Sporty Purple T-Shirt', 'NL': 'Sporty Purple T-Shirt'}",Women,Tops,T-Shirts,UrbanChic,Purple,,"['XS', 'S', 'M', 'L', 'XL', 'XXL']",Cashmere,31.14,{'EUR': 31.14},14.99,51.86,4,False,7.8,India,1932,386,51,2025-05-06,Fall/Winter 2025,True,,True,https://eurostyle.com/products/sporty-purple-t-shirt,"['https://eurostyle.com/images/sporty-purple-t-shirt-main.jpg', 'https://eurostyle.com/images/sporty-purple-t-shirt-detail.jpg', 'https://eurostyle.com/images/sporty-purple-t-shirt-lifestyle.jpg']",2025-10-14 13:00:07.746964,2025-10-14 13:00:07.746964
PROD_000018,Casual Pink T-Shirt,"{'EN': 'Casual Pink T-Shirt', 'DE': 'Casual Pink T-Shirt', 'FR': 'Casual Pink T-Shirt', 'NL': 'Casual Pink T-Shirt'}",Women,Tops,T-Shirts,EcoFashion,Pink,,"['XS', 'S', 'M', 'L', 'XL', 'XXL']",Polyester,72.66,{'EUR': 72.66},28.52,60.75,5,False,13.48,Belgium,1904,380,52,2023-03-07,Spring/Summer 2024,True,,True,https://eurostyle.com/products/casual-pink-t-shirt,"['https://eurostyle.com/images/casual-pink-t-shirt-main.jpg', 'https://eurostyle.com/images/casual-pink-t-shirt-detail.jpg', 'https://eurostyle.com/images/casual-pink-t-shirt-lifestyle.jpg']",2025-10-14 13:00:07.746972,2025-10-14 13:00:07.746973
PROD_000019,Classic Yellow T-Shirt,"{'EN': 'Classic Yellow T-Shirt', 'DE': 'Klassisch Yellow T-Shirt', 'FR': 'Classique Yellow T-Shirt', 'NL': 'Klassiek Yellow T-Shirt'}",Women,Tops,T-Shirts,EuroStyle,Yellow,,"['XS', 'S', 'M', 'L', 'XL', 'XXL']",Cotton,50.69,{'EUR': 50.69},23.64,53.36,6,False,14.38,India,633,126,42,2025-06-28,Fall/Winter 2025,True,,True,https://eurostyle.com/products/classic-yellow-t-shirt,"['https://eurostyle.com/images/classic-yellow-t-shirt-main.jpg', 'https://eurostyle.com/images/classic-yellow-t-shirt-detail.jpg', 'https://eurostyle.com/images/classic-yellow-t-shirt-lifestyle.jpg']",2025-10-14 13:00:07.746981,2025-10-14 13:00:07.746982
PROD_000020,Classic Yellow T-Shirt,"{'EN': 'Classic Yellow T-Shirt', 'DE': 'Klassisch Yellow T-Shirt', 'FR': 'Classique Yellow T-Shirt', 'NL': 'Klassiek Yellow T-Shirt'}",Women,Tops,T-Shirts,BasicStyle,Yellow,,"['XS', 'S', 'M', 'L', 'XL', 'XXL']",Bamboo,39.58,{'EUR': 39.58},15.7,60.34,7,True,4.73,China,1539,307,51,2023-06-03,Fall/Winter 2025,True,,True,https://eurostyle.com/products/classic-yellow-t-shirt,"['https://eurostyle.com/images/classic-yellow-t-shirt-main.jpg', 'https://eurostyle.com/images/classic-yellow-t-shirt-detail.jpg', 'https://eurostyle.com/images/classic-yellow-t-shirt-lifestyle.jpg']",2025-10-14 13:00:07.746990,2025-10-14 13:00:07.746990
PROD_000021,Trendy Purple T-Shirt,"{'EN': 'Trendy Purple T-Shirt', 'DE': 'Trendy Purple T-Shirt', 'FR': 'Trendy Purple T-Shirt', 'NL': 'Trendy Purple T-Shirt'}",Women,Tops,T-Shirts,ModernCasual,Purple,,"['XS', 'S', 'M', 'L', 'XL', 'XXL']",Cashmere,66.86,{'EUR': 66.86},28.77,56.97,7,False,8.62,Germany,1088,217,38,2025-06-28,Spring/Summer 2024,True,,True,https://eurostyle.com/products/trendy-purple-t-shirt,"['https://eurostyle.com/images/trendy-purple-t-shirt-main.jpg', 'https://eurostyle.com/images/trendy-purple-t-shirt-detail.jpg', 'https://eurostyle.com/images/trendy-purple-t-shirt-lifestyle.jpg']",2025-10-14 13:00:07.746998,2025-10-14 13:00:07.746998
PROD_000022,Classic Blue T-Shirt,"{'EN': 'Classic Blue T-Shirt', 'DE': 'Klassisch Blue T-Shirt', 'FR': 'Classique Blue T-Shirt', 'NL': 'Klassiek Blue T-Shirt'}",Women,Tops,T-Shirts,EcoFashion,Blue,,"['XS', 'S', 'M', 'L', 'XL', 'XXL']",Linen,79.46,{'EUR': 79.46},41.53,47.74,9,True,2.27,Netherlands,690,138,37,2024-09-26,Fall/Winter 2025,True,,True,https://eurostyle.com/products/classic-blue-t-shirt,"['https://eurostyle.com/images/classic-blue-t-shirt-main.jpg', 'https://eurostyle.com/images/classic-blue-t-shirt-detail.jpg', 'https://eurostyle.com/images/classic-blue-t-shirt-lifestyle.jpg']",2025-10-14 13:00:07.747007,2025-10-14 13:00:07.747007
PROD_000023,Elegant Yellow T-Shirt,"{'EN': 'Elegant Yellow T-Shirt', 'DE': 'Elegant Yellow T-Shirt', 'FR': 'Elegant Yellow T-Shirt', 'NL': 'Elegant Yellow T-Shirt'}",Women,Tops,T-Shirts,BasicStyle,Yellow,,"['XS', 'S', 'M', 'L', 'XL', 'XXL']",Polyester,69.99,{'EUR': 69.99},35.61,49.12,6,False,6.2,Vietnam,1715,343,17,2025-09-10,Spring/Summer 2024,True,,True,https://eurostyle.com/products/elegant-yellow-t-shirt,"['https://eurostyle.com/images/elegant-yellow-t-shirt-main.jpg', 'https://eurostyle.com/images/elegant-yellow-t-shirt-detail.jpg', 'https://eurostyle.com/images/elegant-yellow-t-shirt-lifestyle.jpg']",2025-10-14 13:00:07.747016,2025-10-14 13:00:07.747017
PROD_000024,Basic Red T-Shirt,"{'EN': 'Basic Red T-Shirt', 'DE': 'Basic Red T-Shirt', 'FR': 'Basic Red T-Shirt', 'NL': 'Basic Red T-Shirt'}",Women,Tops,T-Shirts,PremiumWear,Red,Silver,"['XS', 'S', 'M', 'L', 'XL', 'XXL']",Hemp,28.99,{'EUR': 28.99},12.84,55.7,8,True,5.89,Italy,1545,309,45,2025-04-05,Spring/Summer 2025,True,,False,https://eurostyle.com/products/basic-red-t-shirt,"['https://eurostyle.com/images/basic-red-t-shirt-main.jpg', 'https://eurostyle.com/images/basic-red-t-shirt-detail.jpg', 'https://eurostyle.com/images/basic-red-t-shirt-lifestyle.jpg']",2025-10-14 13:00:07.747025,2025-10-14 13:00:07.747025
PROD_000025,Trendy Beige T-Shirt,"{'EN': 'Trendy Beige T-Shirt', 'DE': 'Trendy Beige T-Shirt', 'FR': 'Trendy Beige T-Shirt', 'NL': 'Trendy Beige T-Shirt'}",Women,Tops,T-Shirts,ClassicFit,Beige,,"['XS', 'S', 'M', 'L', 'XL', 'XXL']",Leather,63.82,{'EUR': 63.82},32.27,49.43,5,False,6.96,Vietnam,1529,305,15,2023-09-05,Spring/Summer 2025,True,,True,https://eurostyle.com/products/trendy-beige-t-shirt,"['https://eurostyle.com/images/trendy-beige-t-shirt-main.jpg', 'https://eurostyle.com/images/trendy-beige-t-shirt-detail.jpg', 'https://eurostyle.com/images/trendy-beige-t-shirt-lifestyle.jpg']",2025-10-14 13:00:07.747033,2025-10-14 13:00:07.747034
PROD_000026,Sporty Black T-Shirt,"{'EN': 'Sporty Black T-Shirt', 'DE': 'Sporty Black T-Shirt', 'FR': 'Sporty Black T-Shirt', 'NL': 'Sporty Black T-Shirt'}",Women,Tops,T-Shirts,EcoFashion,Black,,"['XS', 'S', 'M', 'L', 'XL', 'XXL']",Tencel,83.07,{'EUR': 83.07},32.25,61.18,9,True,6.15,Italy,698,139,20,2023-03-18,Fall/Winter 2024,True,,False,https://eurostyle.com/products/sporty-black-t-shirt,"['https://eurostyle.com/images/sporty-black-t-shirt-main.jpg', 'https://eurostyle.com/images/sporty-black-t-shirt-detail.jpg', 'https://eurostyle.com/images/sporty-black-t-shirt-lifestyle.jpg']",2025-10-14 13:00:07.747042,2025-10-14 13:00:07.747042
PROD_000027,Modern White T-Shirt,"{'EN': 'Modern White T-Shirt', 'DE': 'Modern White T-Shirt', 'FR': 'Moderne White T-Shirt', 'NL': 'Modern White T-Shirt'}",Women,Tops,T-Shirts,EuroStyle,White,,"['XS', 'S', 'M', 'L', 'XL', 'XXL']",Silk,65.37,{'EUR': 65.37},25.69,60.7,3,False,11.35,China,590,118,41,2024-07-13,Fall/Winter 2025,True,,True,https://eurostyle.com/products/modern-white-t-shirt,"['https://eurostyle.com/images/modern-white-t-shirt-main.jpg', 'https://eurostyle.com/images/modern-white-t-shirt-detail.jpg', 'https://eurostyle.com/images/modern-white-t-shirt-lifestyle.jpg']",2025-10-14 13:00:07.747050,2025-10-14 13:00:07.747050
PROD_000028,Classic Beige T-Shirt,"{'EN': 'Classic Beige T-Shirt', 'DE': 'Klassisch Beige T-Shirt', 'FR': 'Classique Beige T-Shirt', 'NL': 'Klassiek Beige T-Shirt'}",Women,Tops,T-Shirts,EcoFashion,Beige,,"['XS', 'S', 'M', 'L', 'XL', 'XXL']",Polyester,26.8,{'EUR': 26.8},11.19,58.23,6,False,10.91,China,1754,350,60,2022-01-26,Fall/Winter 2025,True,,True,https://eurostyle.com/products/classic-beige-t-shirt,"['https://eurostyle.com/images/classic-beige-t-shirt-main.jpg', 'https://eurostyle.com/images/classic-beige-t-shirt-detail.jpg', 'https://eurostyle.com/images/classic-beige-t-shirt-lifestyle.jpg']",2025-10-14 13:00:07.747059,2025-10-14 13:00:07.747059
PROD_000029,Classic Green T-Shirt,"{'EN': 'Classic Green T-Shirt', 'DE': 'Klassisch Green T-Shirt', 'FR': 'Classique Green T-Shirt', 'NL': 'Klassiek Green T-Shirt'}",Women,Tops,T-Shirts,EcoFashion,Green,,"['XS', 'S', 'M', 'L', 'XL', 'XXL']",Hemp,28.4,{'EUR': 28.4},15.27,46.23,8,True,5.87,Italy,1533,306,48,2022-09-02,Spring/Summer 2024,True,,True,https://eurostyle.com/products/classic-green-t-shirt,"['https://eurostyle.com/images/classic-green-t-shirt-main.jpg', 'https://eurostyle.com/images/classic-green-t-shirt-detail.jpg', 'https://eurostyle.com/images/classic-green-t-shirt-lifestyle.jpg']",2025-10-14 13:00:07.747067,2025-10-14 13:00:07.747067
PROD_000030,Casual Black T-Shirt,"{'EN': 'Casual Black T-Shirt', 'DE': 'Casual Black T-Shirt', 'FR': 'Casual Black T-Shirt', 'NL': 'Casual Black T-Shirt'}",Women,Tops,T-Shirts,ModernCasual,Black,,"['XS', 'S', 'M', 'L', 'XL', 'XXL']",Leather,58.92,{'EUR': 58.92},23.21,60.6,5,False,12.53,India,1666,333,31,2024-10-02,Spring/Summer 2025,True,,False,https://eurostyle.com/products/casual-black-t-shirt,"['https://eurostyle.com/images/casual-black-t-shirt-main.jpg', 'https://eurostyle.com/images/casual-black-t-shirt-detail.jpg', 'https://eurostyle.com/images/casual-black-t-shirt-lifestyle.jpg']",2025-10-14 13:00:07.747075,2025-10-14 13:00:07.747076
PROD_000031,Modern Navy T-Shirt,"{'EN': 'Modern Navy T-Shirt', 'DE': 'Modern Navy T-Shirt', 'FR': 'Moderne Navy T-Shirt', 'NL': 'Modern Navy T-Shirt'}",Women,Tops,T-Shirts,BasicStyle,Navy,,"['XS', 'S', 'M', 'L', 'XL', 'XXL']",Leather,60.46,{'EUR': 60.46},24.23,59.93,7,False,12.2,Portugal,824,164,48,2025-07-08,Spring/Summer 2025,True,,True,https://eurostyle.com/products/modern-navy-t-shirt,"['https://eurostyle.com/images/modern-navy-t-shirt-main.jpg', 'https://eurostyle.com/images/modern-navy-t-shirt-detail.jpg', 'https://eurostyle.com/images/modern-navy-t-shirt-lifestyle.jpg']",2025-10-14 13:00:07.747084,2025-10-14 13:00:07.747084
PROD_000032,Premium Black T-Shirt,"{'EN': 'Premium Black T-Shirt', 'DE': 'Premium Black T-Shirt', 'FR': 'Premium Black T-Shirt', 'NL': 'Premium Black T-Shirt'}",Women,Tops,T-Shirts,TrendSetters,Black,,"['XS', 'S', 'M', 'L', 'XL', 'XXL']",Recycled Polyester,44.26,{'EUR': 44.26},21.63,51.13,9,True,5.91,Italy,337,67,45,2025-10-16,Spring/Summer 2024,True,,True,https://eurostyle.com/products/premium-black-t-shirt,"['https://eurostyle.com/images/premium-black-t-shirt-main.jpg', 'https://eurostyle.com/images/premium-black-t-shirt-detail.jpg', 'https://eurostyle.com/images/premium-black-t-shirt-lifestyle.jpg']",2025-10-14 13:00:07.747092,2025-10-14 13:00:07.747092
PROD_000033,Modern Grey T-Shirt,"{'EN': 'Modern Grey T-Shirt', 'DE': 'Modern Grey T-Shirt', 'FR': 'Moderne Grey T-Shirt', 'NL': 'Modern Grey T-Shirt'}",Women,Tops,T-Shirts,BasicStyle,Grey,,"['XS', 'S', 'M', 'L', 'XL', 'XXL']",Acrylic,38.93,{'EUR': 38.93},17.71,54.5,5,False,14.3,Turkey,78,15,20,2023-08-01,Fall/Winter 2024,True,,True,https://eurostyle.com/products/modern-grey-t-shirt,"['https://eurostyle.com/images/modern-grey-t-shirt-main.jpg', 'https://eurostyle.com/images/modern-grey-t-shirt-detail.jpg', 'https://eurostyle.com/images/modern-grey-t-shirt-lifestyle.jpg']",2025-10-14 13:00:07.747103,2025-10-14 13:00:07.747104
PROD_000034,Classic Green T-Shirt,"{'EN': 'Classic Green T-Shirt', 'DE': 'Klassisch Green T-Shirt', 'FR': 'Classique Green T-Shirt', 'NL': 'Klassiek Green T-Shirt'}",Women,Tops,T-Shirts,UrbanChic,Green,,"['XS', 'S', 'M', 'L', 'XL', 'XXL']",Cashmere,39.92,{'EUR': 39.92},17.38,56.46,5,False,6.25,Belgium,1227,245,41,2025-12-06,Spring/Summer 2024,True,,True,https://eurostyle.com/products/classic-green-t-shirt,"['https://eurostyle.com/images/classic-green-t-shirt-main.jpg', 'https://eurostyle.com/images/classic-green-t-shirt-detail.jpg', 'https://eurostyle.com/images/classic-green-t-shirt-lifestyle.jpg']",2025-10-14 13:00:07.747114,2025-10-14 13:00:07.747115
PROD_000035,Modern Black T-Shirt,"{'EN': 'Modern Black T-Shirt', 'DE': 'Modern Black T-Shirt', 'FR': 'Moderne Black T-Shirt', 'NL': 'Modern Black T-Shirt'}",Women,Tops,T-Shirts,PremiumWear,Black,,"['XS', 'S', 'M', 'L', 'XL', 'XXL']",Recycled Polyester,59.9,{'EUR': 59.9},30.24,49.51,10,True,6.99,Portugal,1951,390,59,2024-05-08,Fall/Winter 2025,True,,False,https://eurostyle.com/products/modern-black-t-shirt,"['https://eurostyle.com/images/modern-black-t-shirt-main.jpg', 'https://eurostyle.com/images/modern-black-t-shirt-detail.jpg', 'https://eurostyle.com/images/modern-black-t-shirt-lifestyle.jpg']",2025-10-14 13:00:07.747125,2025-10-14 13:00:07.747126
