search_query_id,session_id,customer_id,country_code,search_term,search_timestamp,results_count,clicked_result_position,clicked_product_id,filters_applied,sort_order,search_refinements,no_results,created_at
SEARCH_2024_0000036,SES_00004861,,LU,sneakers,2024-09-21 16:08:00,3,,,[],relevance,4,False,2025-10-14 12:47:15
SEARCH_2024_0000037,SES_00001466,CUST_BE_0001849,BE,accessories,2024-07-12 19:04:00,217,3,,['category:men'],relevance,2,False,2025-10-14 12:47:15
SEARCH_2024_0000038,SES_00003211,,DE,jeans,2024-10-27 08:14:00,208,5,PROD_000211,[],price_low,2,False,2025-10-14 12:47:15
SEARCH_2024_0000039,SES_00008093,CUST_DE_0000373,DE,wintermantel,2024-06-20 06:58:00,101,7,PROD_000105,"['sustainable:true','color:white']",price_low,0,False,2025-10-14 12:47:15
SEARCH_2024_0000040,SES_00004938,CUST_BE_0001657,BE,summer dress,2024-06-04 10:50:00,27,10,PROD_000214,['category:men'],price_low,4,False,2025-10-14 12:47:15
SEARCH_2024_0000041,SES_00008054,CUST_FR_0001196,FR,leather jacket,2024-07-12 14:03:00,163,5,PROD_000217,[],relevance,2,False,2025-10-14 12:47:15
SEARCH_2024_0000042,SES_00001415,CUST_DE_0000317,DE,nachhaltige mode,2024-10-21 10:24:00,64,,,"['color:red','size:M']",newest,2,False,2025-10-14 12:47:15
SEARCH_2024_0000043,SES_00003755,CUST_FR_0000868,FR,accessories,2024-09-08 21:31:00,25,,PROD_000067,"['color:red','material:cotton']",price_high,0,False,2025-10-14 12:47:15
SEARCH_2024_0000044,SES_00004373,,DE,black dress,2024-11-17 16:45:00,138,,PROD_000229,['category:men'],price_high,1,False,2025-10-14 12:47:15
SEARCH_2024_0000045,SES_00001740,CUST_NL_0001386,NL,sports bra,2024-07-17 09:14:00,247,3,PROD_000051,[],popular,4,False,2025-10-14 12:47:15
SEARCH_2024_0000046,SES_00010941,CUST_FR_0001171,FR,leather jacket,2024-08-26 07:29:00,207,7,PROD_000036,"['material:cotton','brand:eurostyle']",relevance,3,False,2025-10-14 12:47:15
SEARCH_2024_0000047,SES_00010626,,DE,black dress,2024-08-07 08:57:00,53,6,PROD_000186,[],popular,5,False,2025-10-14 12:47:15
SEARCH_2024_0000048,SES_00008700,CUST_NL_0001350,NL,sports bra,2024-07-26 16:44:00,143,5,,"['size:M','category:women','material:cotton']",popular,1,False,2025-10-14 12:47:15
SEARCH_2024_0000049,SES_00000846,CUST_FR_0000722,FR,sustainable fashion,2024-06-21 05:34:00,218,,PROD_000160,['size:M'],price_high,0,False,2025-10-14 12:47:15
SEARCH_2024_0000050,SES_00000091,CUST_DE_0000592,DE,sports bra,2024-08-22 05:02:00,82,7,,"['color:black','price:under50','category:women']",price_high,5,False,2025-10-14 12:47:15
SEARCH_2024_0000051,SES_00003477,CUST_NL_0001578,NL,eco friendly,2024-06-24 17:03:00,53,1,PROD_000074,[],price_low,2,False,2025-10-14 12:47:15
SEARCH_2024_0000052,SES_00004453,CUST_DE_0000432,DE,wintermantel,2024-09-06 19:56:00,68,,PROD_000155,['category:men'],price_low,3,False,2025-10-14 12:47:15
SEARCH_2024_0000053,SES_00001124,CUST_NL_0001218,NL,party dress,2024-09-16 11:31:00,129,5,PROD_000189,"['size:L','sustainable:true']",popular,2,False,2025-10-14 12:47:15
SEARCH_2024_0000054,SES_00007224,CUST_NL_0001374,NL,organic cotton,2024-08-19 23:05:00,171,,,[],relevance,5,False,2025-10-14 12:47:15
SEARCH_2024_0000055,SES_00005786,CUST_FR_0001054,FR,plus size,2024-11-21 20:09:00,176,,,"['color:red','color:black','sustainable:true']",popular,3,False,2025-10-14 12:47:15
SEARCH_2024_0000056,SES_00003253,CUST_LU_0001966,LU,organic cotton,2024-10-21 18:05:00,213,5,,['category:men'],relevance,3,False,2025-10-14 12:47:15
SEARCH_2024_0000057,SES_00009840,CUST_DE_0000357,DE,nachhaltige mode,2024-09-22 20:20:00,162,9,,['size:L'],price_high,3,False,2025-10-14 12:47:15
SEARCH_2024_0000058,SES_00008221,,BE,leather jacket,2024-09-21 23:18:00,149,6,,[],newest,4,False,2025-10-14 12:47:15
SEARCH_2024_0000059,SES_00009790,,NL,sneakers,2024-11-24 15:42:00,13,1,PROD_000081,['category:men'],price_low,4,False,2025-10-14 12:47:15
SEARCH_2024_0000060,SES_00007683,CUST_DE_0000651,DE,eco friendly,2024-07-29 14:45:00,25,,PROD_000041,[],price_low,5,False,2025-10-14 12:47:15
SEARCH_2024_0000061,SES_00002512,,FR,wool sweater,2024-09-27 23:17:00,234,4,,['size:M'],price_low,1,False,2025-10-14 12:47:15
SEARCH_2024_0000062,SES_00008131,CUST_NL_0001573,NL,black dress,2024-07-30 13:31:00,40,8,,"['category:men','price:under50']",popular,1,False,2025-10-14 12:47:15
SEARCH_2024_0000063,SES_00001852,CUST_DE_0000042,DE,winter jacket,2024-09-26 17:19:00,154,1,,['category:men'],relevance,0,False,2025-10-14 12:47:15
SEARCH_2024_0000064,SES_00005764,CUST_DE_0000065,DE,summer dress,2024-10-13 04:17:00,209,,PROD_000142,['size:L'],relevance,5,False,2025-10-14 12:47:15
SEARCH_2024_0000065,SES_00010208,,LU,sale items,2024-09-23 14:52:00,163,1,PROD_000208,"['category:men','color:black','price:under50']",popular,3,False,2025-10-14 12:47:15
SEARCH_2024_0000066,SES_00000479,CUST_FR_0001095,FR,jeans,2024-08-24 17:33:00,50,10,PROD_000215,[],newest,2,False,2025-10-14 12:47:15
SEARCH_2024_0000067,SES_00002686,CUST_FR_0001148,FR,veste d'hiver,2024-06-30 11:18:00,3,1,PROD_000051,[],price_low,0,False,2025-10-14 12:47:15
SEARCH_2024_0000068,SES_00006159,CUST_DE_0000598,DE,plus size,2024-10-29 07:12:00,145,6,,['price:under50'],popular,2,False,2025-10-14 12:47:15
SEARCH_2024_0000069,SES_00005819,CUST_NL_0001343,NL,plus size,2024-11-14 12:33:00,133,,PROD_000206,['brand:eurostyle'],popular,2,False,2025-10-14 12:47:15
SEARCH_2024_0000070,SES_00008074,,NL,wool sweater,2024-06-26 17:18:00,228,,PROD_000137,[],price_low,4,False,2025-10-14 12:47:15
SEARCH_2024_0000071,SES_00010337,,LU,casual wear,2024-07-19 04:00:00,208,,PROD_000118,[],newest,0,False,2025-10-14 12:47:15
SEARCH_2024_0000072,SES_00008982,,DE,sports bra,2024-09-25 19:14:00,41,4,,['color:red'],relevance,3,False,2025-10-14 12:47:15
SEARCH_2024_0000073,SES_00008692,CUST_DE_0000189,DE,winter jacket,2024-07-22 02:01:00,39,10,PROD_000209,['size:M'],newest,5,False,2025-10-14 12:47:15
SEARCH_2024_0000074,SES_00008557,,FR,winter jacket,2024-07-11 17:55:00,229,,PROD_000236,"['sustainable:true','material:cotton','color:red']",price_high,4,False,2025-10-14 12:47:15
SEARCH_2024_0000075,SES_00006880,,BE,party dress,2024-11-13 00:42:00,177,10,PROD_000219,[],price_high,0,False,2025-10-14 12:47:15
SEARCH_2024_0000076,SES_00008221,,BE,new arrivals,2024-09-22 04:39:00,69,,,['size:L'],relevance,1,False,2025-10-14 12:47:15
SEARCH_2024_0000077,SES_00006926,CUST_FR_0000911,FR,office attire,2024-07-25 19:39:00,210,,,"['category:men','category:women']",relevance,1,False,2025-10-14 12:47:15
SEARCH_2024_0000078,SES_00008584,CUST_DE_0000088,DE,sports bra,2024-08-24 14:42:00,118,,PROD_000124,['color:white'],relevance,4,False,2025-10-14 12:47:15
SEARCH_2024_0000079,SES_00003413,,LU,white shirt,2024-08-04 13:11:00,242,7,PROD_000189,[],newest,0,False,2025-10-14 12:47:15
SEARCH_2024_0000080,SES_00006179,,FR,designer bags,2024-06-01 02:48:00,146,9,,['price:under50'],price_low,0,False,2025-10-14 12:47:15
SEARCH_2024_0000081,SES_00001179,CUST_FR_0001181,FR,trending now,2024-11-23 23:26:00,65,2,,[],price_low,3,False,2025-10-14 12:47:15
SEARCH_2024_0000082,SES_00007773,CUST_DE_0000414,DE,office attire,2024-08-28 17:58:00,10,9,PROD_000115,['color:red'],popular,1,False,2025-10-14 12:47:15
SEARCH_2024_0000083,SES_00006728,CUST_NL_0001255,NL,winter jacket,2024-08-25 03:41:00,5,1,PROD_000070,"['size:L','price:50to100']",price_high,3,False,2025-10-14 12:47:15
SEARCH_2024_0000084,SES_00005162,CUST_NL_0001421,NL,eco friendly,2024-07-17 14:11:00,131,9,PROD_000073,"['color:black','color:red']",newest,2,False,2025-10-14 12:47:15
SEARCH_2024_0000085,SES_00000281,CUST_NL_0001432,NL,casual wear,2024-06-28 00:00:00,118,,,['color:red'],relevance,3,False,2025-10-14 12:47:15
SEARCH_2024_0000086,SES_00010423,CUST_DE_0000615,DE,nachhaltige mode,2024-10-06 21:01:00,223,8,PROD_000205,['size:M'],price_low,4,False,2025-10-14 12:47:15
SEARCH_2024_0000087,SES_00009417,,FR,casual wear,2024-10-15 02:31:00,81,6,PROD_000021,[],relevance,1,False,2025-10-14 12:47:15
SEARCH_2024_0000088,SES_00007712,CUST_FR_0001162,FR,robe d'été,2024-08-10 23:42:00,108,6,,['price:under50'],newest,4,False,2025-10-14 12:47:15
SEARCH_2024_0000089,SES_00010247,,BE,winter jacket,2024-11-17 19:47:00,169,6,,"['category:women','size:L']",price_high,3,False,2025-10-14 12:47:15
SEARCH_2024_0000090,SES_00008916,,LU,summer dress,2024-10-22 16:37:00,82,5,,['category:women'],price_high,5,False,2025-10-14 12:47:15
SEARCH_2024_0000091,SES_00009101,CUST_FR_0001169,FR,sustainable fashion,2024-10-01 00:59:00,146,,PROD_000258,['brand:eurostyle'],price_high,4,False,2025-10-14 12:47:15
SEARCH_2024_0000092,SES_00006031,,LU,sale items,2024-07-30 14:24:00,246,9,PROD_000127,"['color:red','size:M']",popular,1,False,2025-10-14 12:47:15
SEARCH_2024_0000093,SES_00004656,,BE,trending now,2024-06-21 10:46:00,86,3,,[],price_low,2,False,2025-10-14 12:47:15
SEARCH_2024_0000094,SES_00007157,CUST_NL_0001362,NL,white shirt,2024-09-20 08:52:00,72,1,,['color:red'],relevance,2,False,2025-10-14 12:47:15
SEARCH_2024_0000095,SES_00007821,CUST_FR_0001033,FR,mode durable,2024-11-03 06:16:00,149,5,,[],newest,1,False,2025-10-14 12:47:15
SEARCH_2024_0000096,SES_00010006,,LU,casual wear,2024-09-24 13:15:00,182,,,"['category:men','sustainable:true']",popular,2,False,2025-10-14 12:47:15
SEARCH_2024_0000097,SES_00010379,,FR,sneakers,2024-08-06 23:41:00,151,8,,['price:under50'],price_low,5,False,2025-10-14 12:47:15
SEARCH_2024_0000098,SES_00010078,CUST_DE_0000686,DE,sneakers,2024-09-08 12:36:00,234,3,PROD_000195,['category:women'],price_low,3,False,2025-10-14 12:47:15
SEARCH_2024_0000099,SES_00008391,CUST_FR_0001200,FR,office attire,2024-06-15 09:21:00,57,,PROD_000123,"['category:men','size:L']",popular,1,False,2025-10-14 12:47:15
SEARCH_2024_0000100,SES_00004243,,NL,gift cards,2024-06-22 02:10:00,144,5,PROD_000024,"['price:50to100','category:women']",newest,0,False,2025-10-14 12:47:15
SEARCH_2024_0000101,SES_00003291,CUST_DE_0000663,DE,sports bra,2024-11-12 04:20:00,73,,PROD_000169,['brand:eurostyle'],price_low,5,False,2025-10-14 12:47:15
SEARCH_2024_0000102,SES_00003619,CUST_NL_0001475,NL,eco friendly,2024-06-04 04:15:00,201,,PROD_000101,['brand:eurostyle'],popular,2,False,2025-10-14 12:47:15
SEARCH_2024_0000103,SES_00007710,,LU,leather jacket,2024-09-04 15:53:00,163,2,PROD_000004,['size:M'],price_high,1,False,2025-10-14 12:47:15
SEARCH_2024_0000104,SES_00002031,CUST_DE_0000683,DE,sale items,2024-11-21 15:35:00,232,6,PROD_000114,"['material:cotton','sustainable:true']",relevance,0,False,2025-10-14 12:47:15
SEARCH_2024_0000105,SES_00011012,CUST_FR_0000821,FR,sneakers,2024-08-27 21:45:00,66,,PROD_000175,"['color:white','material:cotton']",newest,0,False,2025-10-14 12:47:15
SEARCH_2024_0000106,SES_00001968,CUST_FR_0001132,FR,summer dress,2024-06-18 20:21:00,202,,PROD_000030,['category:men'],price_high,4,False,2025-10-14 12:47:15
SEARCH_2024_0000107,SES_00002294,CUST_DE_0000083,DE,office attire,2024-06-09 11:58:00,63,10,,"['color:white','brand:eurostyle']",relevance,0,False,2025-10-14 12:47:15
SEARCH_2024_0000108,SES_00002153,CUST_DE_0000068,DE,sommerkleid,2024-07-07 17:50:00,135,,PROD_000089,[],popular,4,False,2025-10-14 12:47:15
SEARCH_2024_0000109,SES_00000399,CUST_LU_0001990,LU,gift cards,2024-10-26 10:34:00,64,,,[],popular,3,False,2025-10-14 12:47:15
SEARCH_2024_0000110,SES_00001831,CUST_FR_0000996,FR,sports bra,2024-11-20 11:22:00,28,4,PROD_000269,['material:cotton'],popular,4,False,2025-10-14 12:47:15
SEARCH_2024_0000111,SES_00002291,,BE,plus size,2024-11-20 04:18:00,108,2,PROD_000028,"['color:black','category:women','price:under50']",price_low,5,False,2025-10-14 12:47:15
SEARCH_2024_0000112,SES_00005153,CUST_DE_0000162,DE,nachhaltige mode,2024-09-09 21:51:00,225,,PROD_000044,[],relevance,1,False,2025-10-14 12:47:15
SEARCH_2024_0000113,SES_00008627,CUST_DE_0000218,DE,casual wear,2024-10-27 22:54:00,14,,PROD_000181,['color:white'],popular,3,False,2025-10-14 12:47:15
SEARCH_2024_0000114,SES_00008234,CUST_FR_0001137,FR,plus size,2024-07-05 11:51:00,212,3,PROD_000085,[],popular,0,False,2025-10-14 12:47:15
SEARCH_2024_0000115,SES_00005875,CUST_FR_0000791,FR,white shirt,2024-07-15 17:51:00,177,10,,[],relevance,0,False,2025-10-14 12:47:15
SEARCH_2024_0000116,SES_00005114,CUST_BE_0001737,BE,new arrivals,2024-10-15 16:59:00,170,,PROD_000232,['price:under50'],newest,4,False,2025-10-14 12:47:15
SEARCH_2024_0000117,SES_00007680,CUST_BE_0001878,BE,accessories,2024-10-13 02:18:00,113,4,,['category:women'],newest,5,False,2025-10-14 12:47:15
SEARCH_2024_0000118,SES_00001210,CUST_NL_0001227,NL,eco friendly,2024-11-09 06:39:00,35,,PROD_000211,[],newest,4,False,2025-10-14 12:47:15
SEARCH_2024_0000119,SES_00001986,CUST_LU_0001993,LU,office attire,2024-10-08 19:36:00,93,4,,"['color:white','brand:eurostyle']",relevance,1,False,2025-10-14 12:47:15
SEARCH_2024_0000120,SES_00003636,CUST_NL_0001206,NL,sports bra,2024-07-23 22:33:00,20,10,,[],newest,5,False,2025-10-14 12:47:15
SEARCH_2024_0000121,SES_00002668,CUST_DE_0000507,DE,office attire,2024-07-17 10:27:00,6,4,,"['size:M','sustainable:true']",price_high,4,False,2025-10-14 12:47:15
SEARCH_2024_0000122,SES_00000179,CUST_DE_0000350,DE,sommerkleid,2024-08-30 03:55:00,145,,,[],price_high,5,False,2025-10-14 12:47:15
SEARCH_2024_0000123,SES_00010749,,NL,summer dress,2024-07-15 22:24:00,193,7,PROD_000196,[],relevance,5,False,2025-10-14 12:47:15
SEARCH_2024_0000124,SES_00010160,CUST_DE_0000312,DE,running shoes,2024-08-16 02:06:00,107,8,PROD_000118,"['category:men','price:under50']",price_high,2,False,2025-10-14 12:47:15
SEARCH_2024_0000125,SES_00008656,CUST_DE_0000333,DE,sommerkleid,2024-08-16 06:33:00,108,10,PROD_000232,[],price_low,0,False,2025-10-14 12:47:15
SEARCH_2024_0000126,SES_00003967,CUST_FR_0000807,FR,gift cards,2024-06-11 22:10:00,248,3,,[],newest,3,False,2025-10-14 12:47:15
SEARCH_2024_0000127,SES_00007683,CUST_DE_0000651,DE,black dress,2024-07-05 17:04:00,120,,PROD_000124,[],price_high,5,False,2025-10-14 12:47:15
SEARCH_2024_0000128,SES_00004649,CUST_NL_0001266,NL,organic cotton,2024-11-04 01:11:00,10,,PROD_000230,['material:cotton'],price_low,0,False,2025-10-14 12:47:15
SEARCH_2024_0000129,SES_00002856,CUST_FR_0000877,FR,designer bags,2024-11-23 08:16:00,60,,,[],newest,2,False,2025-10-14 12:47:15
SEARCH_2024_0000130,SES_00004529,CUST_NL_0001341,NL,new arrivals,2024-06-05 13:52:00,63,,PROD_000160,[],newest,3,False,2025-10-14 12:47:15
SEARCH_2024_0000131,SES_00000827,CUST_FR_0001093,FR,gift cards,2024-08-22 16:05:00,45,,PROD_000186,['category:men'],relevance,0,False,2025-10-14 12:47:15
SEARCH_2024_0000132,SES_00003634,,DE,designer bags,2024-06-10 08:16:00,189,1,,['size:M'],popular,0,False,2025-10-14 12:47:15
SEARCH_2024_0000133,SES_00004597,CUST_NL_0001256,NL,vintage style,2024-09-07 13:43:00,159,,PROD_000123,"['color:red','price:under50']",newest,4,False,2025-10-14 12:47:15
SEARCH_2024_0000134,SES_00000452,CUST_BE_0001756,BE,organic cotton,2024-06-20 16:14:00,70,,PROD_000047,[],relevance,5,False,2025-10-14 12:47:15
SEARCH_2024_0000135,SES_00011072,,BE,sneakers,2024-10-29 16:44:00,180,5,PROD_000135,"['brand:eurostyle','category:women']",popular,0,False,2025-10-14 12:47:15
SEARCH_2024_0000136,SES_00003104,,LU,plus size,2024-09-19 07:19:00,115,,PROD_000268,[],popular,1,False,2025-10-14 12:47:15
SEARCH_2024_0000137,SES_00006729,CUST_FR_0000702,FR,summer dress,2024-10-08 05:23:00,42,,PROD_000026,"['category:women','price:50to100','size:M']",relevance,2,False,2025-10-14 12:47:15
SEARCH_2024_0000138,SES_00009735,,BE,organic cotton,2024-07-15 00:07:00,170,8,PROD_000176,['price:50to100'],price_high,4,False,2025-10-14 12:47:15
SEARCH_2024_0000139,SES_00008029,CUST_BE_0001723,BE,leather jacket,2024-10-10 11:48:00,156,7,PROD_000123,[],price_high,5,False,2025-10-14 12:47:15
SEARCH_2024_0000140,SES_00007693,,LU,eco friendly,2024-09-22 03:26:00,206,6,PROD_000082,[],relevance,0,False,2025-10-14 12:47:15
SEARCH_2024_0000141,SES_00004642,CUST_DE_0000588,DE,white shirt,2024-08-06 05:57:00,109,8,PROD_000198,"['brand:eurostyle','size:L']",newest,1,False,2025-10-14 12:47:15
SEARCH_2024_0000142,SES_00003969,CUST_FR_0000870,FR,casual wear,2024-08-23 08:25:00,23,9,PROD_000085,['category:women'],relevance,3,False,2025-10-14 12:47:15
SEARCH_2024_0000143,SES_00010680,CUST_NL_0001264,NL,summer dress,2024-06-18 07:14:00,208,,,[],popular,1,False,2025-10-14 12:47:15
SEARCH_2024_0000144,SES_00011059,CUST_DE_0000159,DE,jeans,2024-06-27 23:40:00,224,,PROD_000242,"['size:M','sustainable:true']",popular,1,False,2025-10-14 12:47:15
SEARCH_2024_0000145,SES_00007851,CUST_FR_0001150,FR,leather jacket,2024-06-11 01:52:00,103,1,PROD_000104,['size:L'],price_high,3,False,2025-10-14 12:47:15
SEARCH_2024_0000146,SES_00011080,,BE,office attire,2024-09-24 08:30:00,173,,,['price:under50'],price_low,4,False,2025-10-14 12:47:15
SEARCH_2024_0000147,SES_00000521,CUST_DE_0000258,DE,summer dress,2024-07-30 18:40:00,202,,PROD_000139,[],popular,3,False,2025-10-14 12:47:15
SEARCH_2024_0000148,SES_00008803,,FR,trending now,2024-06-27 03:29:00,137,,,[],newest,4,False,2025-10-14 12:47:15
SEARCH_2024_0000149,SES_00003345,,FR,gift cards,2024-06-07 00:55:00,239,,,"['color:red','price:50to100']",price_high,2,False,2025-10-14 12:47:15
SEARCH_2024_0000150,SES_00001302,CUST_DE_0000515,DE,sustainable fashion,2024-09-07 11:54:00,24,6,PROD_000116,"['brand:eurostyle','sustainable:true']",price_low,1,False,2025-10-14 12:47:15
SEARCH_2024_0000151,SES_00001027,CUST_FR_0000911,FR,jeans,2024-06-07 09:55:00,222,8,PROD_000101,[],price_high,4,False,2025-10-14 12:47:15
SEARCH_2024_0000152,SES_00007614,CUST_DE_0000405,DE,party dress,2024-11-08 20:26:00,22,,,[],popular,0,False,2025-10-14 12:47:15
SEARCH_2024_0000153,SES_00003207,,NL,eco friendly,2024-06-26 13:53:00,59,6,PROD_000144,"['price:under50','sustainable:true','category:men']",relevance,0,False,2025-10-14 12:47:15
SEARCH_2024_0000154,SES_00003813,CUST_FR_0001158,FR,sustainable fashion,2024-07-14 01:44:00,112,,,['color:black'],popular,2,False,2025-10-14 12:47:15
SEARCH_2024_0000155,SES_00002610,CUST_DE_0000543,DE,party dress,2024-08-28 03:07:00,209,,PROD_000078,['size:M'],price_high,2,False,2025-10-14 12:47:15
SEARCH_2024_0000156,SES_00002398,CUST_NL_0001480,NL,winterjas,2024-09-04 19:20:00,59,,,[],relevance,1,False,2025-10-14 12:47:15
SEARCH_2024_0000157,SES_00003473,CUST_LU_0001952,LU,vintage style,2024-10-19 23:49:00,71,3,PROD_000267,"['size:L','material:cotton']",popular,0,False,2025-10-14 12:47:15
SEARCH_2024_0000158,SES_00010583,CUST_DE_0000280,DE,office attire,2024-07-16 15:08:00,205,4,PROD_000143,[],newest,4,False,2025-10-14 12:47:15
SEARCH_2024_0000159,SES_00006107,,DE,gift cards,2024-08-17 20:15:00,217,,,"['price:under50','material:cotton','color:black']",price_low,3,False,2025-10-14 12:47:15
SEARCH_2024_0000160,SES_00010436,,BE,running shoes,2024-09-08 17:40:00,86,6,,"['material:cotton','category:women']",relevance,3,False,2025-10-14 12:47:15
SEARCH_2024_0000161,SES_00008917,CUST_NL_0001530,NL,jeans,2024-09-08 20:08:00,155,3,PROD_000237,[],price_low,4,False,2025-10-14 12:47:15
